Time;EMG1;EMG2;EMG3;EMG4;EMG1_F;EMG2_F;EMG3_F;EMG4_F;
1741;0;0;0;0;30;30;30;30;
1751;0;0;0;0;30;30;30;30;
1762;0;0;0;0;30;30;30;30;
1772;0;0;0;0;30;30;30;30;
1783;0;0;0;0;30;30;30;30;
1793;0;0;0;0;30;30;30;30;
1804;0;0;0;0;30;30;30;30;
1818;0;0;0;0;30;30;30;30;
1828;0;0;0;0;30;30;30;30;
1838;0;0;0;0;30;30;30;30;
1847;0;0;0;0;30;30;30;30;
1857;0;0;0;0;30;30;30;30;
1866;0;0;0;0;30;30;30;30;
1876;0;0;0;0;30;30;30;30;
1891;0;0;0;0;30;30;30;30;
1900;0;0;0;0;30;30;30;30;
1910;0;0;0;0;30;30;30;30;
1921;0;0;0;0;30;30;30;30;
1930;0;0;0;0;30;30;30;30;
1941;0;0;0;0;30;30;30;30;
1951;0;0;0;0;30;30;30;30;
1962;0;0;0;0;30;30;30;30;
1972;0;0;0;0;30;30;30;30;
1983;0;0;0;0;30;30;30;30;
1993;0;0;0;0;30;30;30;30;
2002;0;0;0;0;30;30;30;30;
2013;0;0;0;0;30;30;30;30;
2025;0;0;0;0;30;30;30;30;
2034;0;0;0;0;30;30;30;30;
2044;0;0;0;0;30;30;30;30;
2056;0;0;0;0;30;30;30;30;
2068;0;0;0;0;30;30;30;30;
2079;0;0;0;0;30;30;30;30;
2090;0;0;0;0;30;30;30;30;
2100;0;0;0;0;30;30;30;30;
2112;0;0;0;0;30;30;30;30;
2122;0;0;0;0;30;30;30;30;
2132;0;0;0;0;30;30;30;30;
2143;0;0;0;0;30;30;30;30;
2153;0;0;0;0;30;30;30;30;
2162;0;0;0;0;30;30;30;30;
2174;0;0;0;0;30;30;30;30;
2183;0;0;0;0;30;30;30;30;
2194;0;0;0;0;30;30;30;30;
2204;0;0;0;0;30;30;30;30;
2214;0;0;0;0;30;30;30;30;
2226;0;0;0;0;30;30;30;30;
2235;0;0;0;0;30;30;30;30;
2245;0;0;0;0;30;30;30;30;
2260;0;0;0;0;30;30;30;30;
2270;0;0;0;0;30;30;30;30;
2281;0;0;0;0;30;30;30;30;
2292;0;0;0;0;30;30;30;30;
2301;0;0;0;0;30;30;30;30;
2313;0;0;0;0;30;30;30;30;
2323;0;0;0;0;30;30;30;30;
2332;0;0;0;0;30;30;30;30;
2342;0;0;0;0;30;30;30;30;
2352;0;0;0;0;30;30;30;30;
2362;0;0;0;0;30;30;30;30;
2372;0;0;0;0;30;30;30;30;
2382;0;0;0;0;30;30;30;30;
2392;0;0;0;0;30;30;30;30;
2402;0;0;0;0;30;30;30;30;
2413;0;0;0;0;30;30;30;30;
2424;0;0;0;0;30;30;30;30;
2434;0;0;0;0;30;30;30;30;
2445;0;0;0;0;30;30;30;30;
2455;0;0;0;0;30;30;30;30;
2466;0;0;0;0;30;30;30;30;
2476;0;0;0;0;30;30;30;30;
2487;0;0;0;0;30;30;30;30;
2499;0;0;0;0;30;30;30;30;
2512;0;0;0;0;30;30;30;30;
2523;0;0;0;0;30;30;30;30;
2533;0;0;0;0;30;30;30;30;
2545;0;0;0;0;30;30;30;30;
2556;0;0;0;0;30;30;30;30;
2565;0;0;0;0;30;30;30;30;
2577;0;0;0;0;30;30;30;30;
2588;0;0;0;0;30;30;30;30;
2600;0;0;0;0;30;30;30;30;
2611;0;0;0;0;30;30;30;30;
2622;0;0;0;0;30;30;30;30;
2632;0;0;0;0;30;30;30;30;
2643;0;0;0;0;30;30;30;30;
2653;0;0;0;0;30;30;30;30;
2663;0;0;0;0;30;30;30;30;
2673;0;0;0;0;30;30;30;30;
2684;0;0;0;0;30;30;30;30;
2694;0;0;0;0;30;30;30;30;
2709;0;0;0;0;30;30;30;30;
2718;0;0;0;0;30;30;30;30;
