Time;EMG1;EMG2;EMG3;EMG4;
2300;-34,51087;-3,700669;-23,52105;-39,70825;
2316;-34,27854;-8,397335;-23,06107;-40,02839;
2333;-33,06389;-4,197628;-24,27685;-44,01221;
2353;-30,09172;-8,137639;-27,19991;-40,73902;
2372;-34,68361;-4,525769;-22,75969;-43,58612;
2391;-32,9066;-5,513241;-19,85765;-40,08157;
2408;-33,55437;-4,35674;-27,81097;-38,27351;
2428;-33,54834;-4,623199;-26,74965;-42,59798;
2447;-37,23143;-7,162193;-25,58389;-45,81716;
2464;-29,66635;-6,194287;-24,39462;-44,03062;
2481;-29,66635;-6,194287;-24,39462;-44,03062;
2498;-34,09328;-6,856978;-24,14055;-37,10524;
2517;-33,41804;-8,716093;-25,84663;-46,25051;
2535;-34,08051;-3,348876;-24,26142;-38,30984;
2553;-36,83609;-9,394867;-25,4869;-41,32527;
2572;-32,75393;-6,916787;-29,75164;-39,49493;
2593;-30,59729;-4,41288;-24,87144;-44,56388;
2611;-31,92565;-7,185133;-26,74178;-44,41757;
2629;-34,86955;-6,518688;-22,07426;-34,04711;
2650;-32,54806;-7,373841;-18,53745;-32,90672;
2670;-34,83429;-6,543067;-23,79077;-41,28931;
2687;-30,90313;-9,98586;-27,21406;-43,76504;
2705;-33,88968;-7,865297;-26,98111;-48,93899;
2724;-30,91993;-8,116178;-18,91593;-27,59356;
2742;-30,91993;-8,116178;-18,91593;-27,59356;
2762;-33,13635;-4,901331;-24,56978;-54,29224;
2779;-33,46294;-8,930323;-29,89327;-35,71968;
2796;-33,49285;-8,016037;-27,68962;-35,95379;
2813;-32,91624;-6,056763;-23,50367;-38,60499;
2835;-36,67239;-1,003934;-22,33664;-44,29678;
2854;-33,55376;-11,1959;-24,24892;-50,31757;
2871;-31,57094;-4,978985;-23,67761;-26,19042;
2890;-30,71837;-7,01179;-25,66214;-43,19247;
2907;-34,52705;-7,396326;-26,99413;-42,67469;
2924;-36,89761;-5,711365;-25,01282;-38,29403;
2943;-36,89761;-5,711365;-25,01282;-38,29403;
2962;-35,27261;-8,943096;-22,88386;-41,54678;
2981;-33,28773;-4,87441;-27,01339;-43,33447;
3000;-36,20261;-9,794812;-30,7175;-41,22453;
3019;-35,26616;-3,987583;-27,36176;-40,61423;
3039;-29,96587;-3,739122;-28,60631;-45,00971;
3057;-31,08157;-5,337691;-26,21944;-44,01793;
3075;-33,05225;-8,556476;-22,29423;-33,69892;
3092;-34,15256;-6,319314;-24,87399;-37,80036;
3111;-32,93797;-3,074592;-32,03646;-33,37079;
3131;-32,56708;-5,319489;-16,3698;-44,6378;
3148;-35,742;-7,058608;-29,35374;-40,6129;
3166;-33,41981;-7,535449;-21,54437;-40,34848;
3184;-34,0912;-3,739252;-27,37203;-41,58136;
